id,name,zh
100,[Gnoster],
101,[Gnoster],
103,[Gnoster],
104,[Gnoster],
106,[Gnoster],
107,[Gnoster],
108,[Gnoster],
109,[Gnoster],
110,[Gnoster],
111,[Gnoster],
112,[Gnoster],
113,[Gnoster],
114,[Gnoster],
116,[Gnoster],
117,[Gnoster],
120,[Maris],
121,[Maris],
122,[Maris],
123,[Maris],
124,[Maris],
125,[Maris],
126,[Maris],
127,[Maris],
128,[Maris],
129,[Maris],
190,[Libra],
220,[Fulghor],
300,[Heolstor],
301,[Heolstor],
302,[Heolstor],
305,[Heolstor],
306,[Heolstor],
307,[Heolstor],
308,[Heolstor],
309,[Heolstor],
310,[Heolstor],
312,[Heolstor],
313,[Heolstor],
314,[Heolstor],
315,[Heolstor],
316,[Heolstor],
317,[Heolstor],
318,[Heolstor],
319,[Heolstor],
320,[Gladius] Rotted Woods,
321,[Gladius] Rotted Woods,
322,[Gladius] Rotted Woods,
350,[Gladius] Shrouded City,
351,[Gladius] Shrouded City,
352,[Gladius] Shrouded City,
356,[Gladius] Shrouded City,
357,[Gladius] Shrouded City,
358,[Gladius] Shrouded City,
360,[Gladius] Shrouded City,
362,[Gladius] Shrouded City,
364,[Gladius] Shrouded City,
500,[Adel] Standard,
505,[Adel] Standard,
510,[Adel] Standard,冰雾笼罩
520,[Adel] Standard,火焰野兽
521,[Adel] Standard,
522,[Adel] Standard,
523,[Adel] Standard,
524,[Adel] Standard,
525,[Adel] Standard,
526,[Adel] Standard,
527,[Adel] Standard,
528,[Adel] Standard,
529,[Adel] Standard,
530,[Adel] Standard,
532,[Adel] Standard,
533,[Adel] Standard,
534,[Adel] Standard,
535,[Adel] Standard,
536,[Adel] Standard,
540,[Adel] Standard,巨大水泡
541,[Adel] Standard,
542,[Adel] Standard,
543,[Adel] Standard,
544,[Adel] Standard,
545,[Adel] Standard,
546,[Adel] Standard,
547,[Adel] Standard,
548,[Adel] Standard,
549,[Adel] Standard,
550,[Adel] Standard,虫群
551,[Adel] Standard,
552,[Adel] Standard,
553,[Adel] Standard,
554,[Adel] Standard,
555,[Adel] Standard,
556,[Adel] Standard,
560,[Adel] Standard,恶魔诅咒
561,[Adel] Standard,
562,[Adel] Standard,
563,[Adel] Standard,
564,[Adel] Standard,
565,[Adel] Standard,
566,[Adel] Standard,
567,[Adel] Standard,
568,[Adel] Standard,
569,[Adel] Standard,
570,[Adel] Standard,
573,[Adel] Standard,
574,[Adel] Standard,
576,[Adel] Standard,
577,[Adel] Standard,
580,[Adel] Standard,
581,[Adel] Standard,
582,[Adel] Standard,
583,[Adel] Standard,
584,[Adel] Standard,
585,[Adel] Standard,
586,[Adel] Standard,
587,[Adel] Standard,
588,[Adel] Standard,
589,[Adel] Standard,
590,[Adel] Standard,
591,[Adel] Standard,
592,[Adel] Standard,
593,[Adel] Standard,
594,[Adel] Standard,
595,[Adel] Standard,
596,[Adel] Standard,
601,[Adel],
602,[Adel],
603,[Adel],
604,[Adel],
605,[Adel],
606,[Adel],
607,[Adel],
615,[Adel],
616,[Adel],
617,[Adel],
618,[Adel],
619,[Adel],
620,[Adel],
621,[Adel],
622,[Adel],
623,[Adel],
624,[Adel],
625,[Adel],
626,[Adel],
627,[Adel],
628,[Adel],
629,[Adel],
630,[Adel],
631,[Adel],
632,[Adel],
633,[Adel],
634,[Adel],
635,[Adel],
636,[Adel],
637,[Adel],
638,[Adel],
639,[Adel],
640,[Adel],
641,[Adel],
642,[Adel],
643,[Adel],
644,[Adel],
645,[Adel],
646,[Adel],
647,[Adel],
648,[Adel],
649,[Adel],
650,[Adel],
651,[Adel],
652,[Adel],
653,[Adel],
654,[Adel],
